Last_Name,First_Name,Rewards_Points,Username,Password,CustomerID
Miller,Ethan,753,EMil,CherryPickins,1
Pyun,Zachary,49,Zpyuney,ShopShark72,2
Mugunda,Saket,2448,WrenchMan,Beluga31@Whale,3
Baker,Jeffery,614,JCake,Mach10,4
Taele,Paul,13829,Pokeman,Ultraball!,5
Lopez,Maria,872,MLo,StarChaser12,6
Nguyen,Anthony,4532,AntNg,RocketFuel9,7
Patel,Priya,192,PPatel,Lotus88,8
Johnson,Kevin,5019,KevJ,ThunderCat77,9
O’Neill,Kara,746,KONeill,EmeraldSky33,10
Kim,Daniel,2890,DKim,FireForge22,11
Brown,Alyssa,64,ABrown,CookieJar5,12
Smith,Robert,12044,RSmithy,GoldenAxe!,13
Gonzalez,Elena,377,EGon,Sunset99,14
Williams,Marcus,2588,MWills,StormBreaker7,15
Singh,Amar,8462,SinghA,TigerEye11,16
Anderson,Clara,129,ClaraA,MoonDance42,17
Chen,Michael,522,MChen,DragonCloud,18
Parker,Jasmine,1108,JazzP,SilverWing,19
Hernandez,Diego,3094,DHern,IronFist23,20
Clark,Victoria,277,VClark,ShadowVale9,21
Davis,Ethan,6955,EDavis,CrystalCave,22
Adams,Lily,230,LilA,RosePetal17,23
Martinez,Sofia,1492,SofMart,OceanBlue4,24
White,Caleb,941,CWhite,BlazeKnight,25
Cooper,Nathan,813,NCoop,FalconRider7,26
Evans,Chloe,2405,CEvans,PearlShine88,27
Murphy,Sean,338,SMurph,WhaleSong2,28
Brooks,Hailey,1720,HBrooks,SunRay33,29
Rivera,Gabriel,5983,GRiv,StoneWall!,30
Torres,Samantha,742,STorr,CrystalRain9,31
Sanders,Evan,4102,ESand,CobaltBlade,32
Bennett,Olivia,212,OBenn,Snowflake12,33
Foster,Jackson,8239,JFost,VoltSpark99,34
Ross,Hannah,573,HRoss,EmeraldKey,35
Morgan,Liam,1876,LMorg,WolfClaw15,36
Bell,Zoe,902,ZBell,SkyShaper7,37
Ward,Calvin,3221,CWard,IronRoot23,38
Reed,Sophia,478,SReed,LunaDream,39
Cook,Mason,6940,MCook,FireBolt!,40
Bailey,Ella,325,EBail,VelvetDawn4,41
Price,Leo,2587,LPrice,RapidStream,42
Cruz,Valeria,802,VCruz,ShadowMist6,43
Hughes,Dylan,1533,DHugh,SteelWing5,44
Gray,Madison,237,MGray,CrystalWeb,45
Watson,Noah,6520,NWat,DragonFang!,46
Ramirez,Camila,415,CRam,SilverEcho,47
James,Tyler,991,TJames,SunBurst44,48
Wood,Isabella,3107,IWood,MoonFrost9,49
Barnes,Eli,270,EBarn,StoneFire,50
Long,Maya,856,MLong,SkyStream12,51
Flores,Victor,1432,VFlor,DarkMatter5,52
Coleman,Aria,372,ACole,VelvetSky,53
Jenkins,Logan,6039,LJenk,SolarFlame!,54
Perry,Layla,289,LPerr,EmeraldRose,55
Powell,Ian,7428,IPow,WolfHowl23,56
Howard,Grace,361,GHow,SkyBloom9,57
Wardell,Ethan,5402,EWard,IronHawk7,58
Bryant,Nora,815,NBry,MoonStar11,59
Butler,Owen,1032,OButl,SteelStorm,60
Sandoval,Ruby,497,RSand,CrystalRay5,61
Harrison,Lucas,2105,LHarr,DragonShade,62
Gibson,Aurora,955,AGibs,SilentRiver,63
Mills,Ethan,6341,EMill,StormSong,64
Fisher,Alice,288,AFish,VelvetMoon,65
Ortiz,Julian,826,JOrtiz,BlazeEdge,66
Sullivan,Mila,3099,MSull,SkyFrost77,67
Richards,Henry,142,HRich,WolfRider,68
Dean,Leah,5201,LDean,OceanTide,69
Bishop,Ezekiel,681,EBish,StoneBreaker9,70
Warren,Naomi,1733,NWarr,SilverLight,71
Fox,Isaac,912,IFox,ShadowLeaf,72
Banks,Penelope,422,PBanks,StarDust3,73
Holmes,Miles,3781,MHole,CrystalStorm,74
Owens,Scarlett,597,SOwen,MoonBeam2,75
